Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg▲,,OWS,DWS,WS,WS/40
Kelsey Plum,LVA,G,39,1265,39,1265,20.3,0.618,0.566,0.466,0.282,0.9,4.3,21.8,1.7,0,12.2,23.9,117,104,,4.7,1.6,6.3,0.199
Teaira McCowan,DAL,C,30,783,30,783,20.7,0.567,0.551,0.015,0.364,14.9,19.7,9.3,1,3.9,12.7,19.5,115,104,,2.2,1,3.2,0.166
Dorka Juhász,MIN,F,38,919,38,919,14.5,0.516,0.505,0.241,0.251,8.3,15.6,17.2,2,2.2,17.5,13.2,106,104,,1,1.2,2.1,0.093
Haley Jones,ATL,F-G,40,584,40,584,6.7,0.405,0.355,0.169,0.247,2.7,9,24.8,1.4,1.7,22.7,17.8,82,104,,-1.2,0.8,-0.4,-0.028
Natasha Howard,DAL,F,39,1289,39,1289,17.5,0.536,0.494,0.236,0.25,7.3,13.8,12.6,1.9,3.1,15.4,23.1,105,104,,2,1.7,3.7,0.114
Ruthy Hebard,CHI,F,19,175,19,175,20.5,0.607,0.585,0,0.377,11.8,15.5,6.8,1.5,3.3,6.1,16.8,126,104,,0.7,0.2,0.9,0.2
Tyasha Harris,CON,G,40,668,40,668,10.6,0.523,0.51,0.402,0.12,0.9,3,16.5,2.2,0.4,15.7,17.7,97,104,,0.1,0.8,0.9,0.055
Natasha Cloud,WAS,G,37,1199,37,1199,14.2,0.514,0.434,0.382,0.354,0.8,6.8,32,1.6,0.8,17.2,21,101,104,,1.1,1.5,2.6,0.086
Aliyah Boston,IND,F-C,40,1249,40,1249,23.2,0.619,0.583,0.025,0.36,11.9,16.3,12.7,2.2,3.6,13.8,19.4,120,104,,4.5,1.5,6,0.192
Joyner Holmes,TOT,F,34,355,34,355,11.7,0.474,0.441,0.436,0.191,7.6,13.6,13.6,1.3,2.4,13.7,17.4,97,105,,0.1,0.4,0.5,0.052
Courtney Williams,CHI,G,40,1204,40,1204,15.4,0.5,0.495,0.263,0.062,3.6,11.8,33.8,1.6,0.8,19.1,19,102,105,,1.1,1.3,2.4,0.079
Shatori Walker-Kimbrough,WAS,G,40,993,40,993,10.3,0.559,0.507,0.404,0.232,0.9,4.9,10.5,1.5,1.3,10.4,11.5,109,105,,1.1,1.1,2.2,0.088
Epiphanny Prince,NYL,G,10,71,10,71,6.9,0.551,0.5,0.667,0.2,1.7,4.8,15.8,1.4,1.2,30,14.6,92,105,,0,0.1,0.1,0.029
Betnijah Laney,NYL,G-F,40,1201,40,1201,13.8,0.596,0.574,0.382,0.167,3,6.2,12.8,1.4,0.3,14.8,18.7,109,105,,2,1.4,3.4,0.114
