"team","opponent","date","hca","points","fga","orb","tov","fta","opp_points","opp_fga","opp_orb","opp_tov","opp_fta"
"Morgan State","Morgan State",2024-11-24,-1,56,59,16,3,30,56,59,16,3,30
"Nevada","Morgan State",2024-11-24,1,66,56,19,1,35,56,59,16,3,30
"New Mexico","Gonzaga",2024-11-24,1,68,66,8,1,6,81,64,16,1,14
"North Carolina","Villanova",2024-11-24,1,53,55,10,1,6,36,51,14,3,10
"North Dakota","North Dakota",2024-11-24,-1,69,47,8,3,26,69,47,8,3,26
"North Dakota State","Troy",2024-11-24,1,69,72,17,1,23,86,69,17,0,20
"North Texas","North Texas",2024-11-24,-1,69,48,9,1,16,69,48,9,1,16
"Northern Illinois","Northern Illinois",2024-11-24,-1,67,59,9,0,7,67,59,9,0,7
"Oakland","Oakland",2024-11-24,-1,76,62,15,0,27,76,62,15,0,27
"Ohio","Ohio",2024-11-24,-1,57,54,9,1,13,57,54,9,1,13
"Ohio State","Bowling Green",2024-11-24,1,96,74,11,0,15,53,57,11,1,15
"Pacific","Pacific",2024-11-24,-1,60,50,3,1,18,60,50,3,1,18
"Portland State","Cal State Fullerton",2024-11-24,1,61,47,9,0,25,52,63,16,0,18
"Presbyterian","Presbyterian",2024-11-24,-1,39,44,8,2,11,39,44,8,2,11
"Princeton","Princeton",2024-11-24,-1,66,70,19,0,6,66,70,19,0,6
"Providence","Delaware",2024-11-24,1,60,53,8,2,9,53,49,10,1,13
"Purdue","UT Arlington",2024-11-24,1,73,65,14,1,19,55,61,12,0,21
"Quinnipiac","Quinnipiac",2024-11-24,-1,61,50,2,0,11,61,50,2,0,11
"Richmond","Richmond",2024-11-24,-1,73,54,8,0,31,73,54,8,0,31
"Rider","Rider",2024-11-24,-1,60,47,0,3,14,60,47,0,3,14
"Rutgers","Princeton",2024-11-24,1,49,54,9,0,9,66,70,19,0,6
"Sacred Heart","Coppin State",2024-11-24,1,47,62,12,0,8,59,55,12,0,26
"Saint Mary's","Saint Mary's",2024-11-24,-1,68,56,6,1,8,68,56,6,1,8
"San Diego","San Diego",2024-11-24,-1,63,66,17,0,20,63,66,17,0,20
"San José State","Cal State Northridge",2024-11-24,1,62,62,19,1,24,44,58,8,0,14
"Santa Clara","UC Davis",2024-11-24,1,70,66,13,0,12,74,67,12,1,20
"South Carolina","South Carolina",2024-11-24,-1,62,66,16,0,8,62,66,16,0,8
"South Carolina State","UNC Greensboro",2024-11-24,1,35,37,8,3,15,53,53,18,2,8
"South Florida","Louisville",2024-11-24,1,60,50,6,1,13,64,59,12,1,12
"Southern Miss","Columbia",2024-11-24,1,66,58,13,1,8,85,68,20,0,18
"St. Francis (PA)","St. Francis (PA)",2024-11-24,-1,35,53,10,1,12,35,53,10,1,12
"St. John's","Stony Brook",2024-11-24,1,58,63,10,0,3,34,52,12,2,6
"Stony Brook","Stony Brook",2024-11-24,-1,34,52,12,2,6,34,52,12,2,6
"TCU","Idaho State",2024-11-24,1,86,54,5,0,15,46,56,14,2,12
"Texas A&M","Texas A&M",2024-11-24,-1,62,55,14,0,20,62,55,14,0,20
"Towson","Liberty",2024-11-24,1,57,58,12,1,31,64,56,11,0,21
"Troy","Troy",2024-11-24,-1,86,69,17,0,20,86,69,17,0,20
"Tulane","Jackson State",2024-11-24,1,77,59,11,1,19,37,58,7,1,7
"UC Davis","UC Davis",2024-11-24,-1,74,67,12,1,20,74,67,12,1,20
"UC San Diego","UC San Diego",2024-11-24,-1,59,57,9,0,16,59,57,9,0,16
"UC Santa Barbara","San Diego",2024-11-24,1,71,60,10,1,19,63,66,17,0,20
"UCF","Florida A&M",2024-11-24,1,80,52,10,0,34,55,61,14,1,15
"UCLA","South Carolina",2024-11-24,1,77,59,14,1,14,62,66,16,0,8
"UL Monroe","Saint Mary's",2024-11-24,1,61,58,8,0,15,68,56,6,1,8
"UMBC","Manhattan",2024-11-24,1,50,54,9,1,12,60,54,11,2,5
"UMass Lowell","UMass Lowell",2024-11-24,-1,44,47,8,1,14,44,47,8,1,14
"UNC Greensboro","UNC Greensboro",2024-11-24,-1,53,53,18,2,8,53,53,18,2,8
"UT Arlington","UT Arlington",2024-11-24,-1,55,61,12,0,21,55,61,12,0,21
"Utah","Montana State",2024-11-24,1,72,54,6,0,10,53,56,10,1,7
"VCU","Rider",2024-11-24,1,75,48,11,1,24,60,47,0,3,14
"Villanova","Villanova",2024-11-24,-1,36,51,14,3,10,36,51,14,3,10
"Virginia","Bethune-Cookman",2024-11-24,1,82,67,14,0,19,48,68,12,0,20
"Washington State","Washington State",2024-11-24,-1,43,62,11,0,3,43,62,11,0,3
"Weber State","Weber State",2024-11-24,-1,46,53,4,0,16,46,53,4,0,16
"Western Illinois","Western Illinois",2024-11-24,-1,62,63,15,0,9,62,63,15,0,9
"Western Kentucky","North Dakota",2024-11-24,1,74,62,9,0,17,69,47,8,3,26
"Wright State","Ohio",2024-11-24,1,68,60,17,1,16,57,54,9,1,13
"Yale","Pacific",2024-11-24,1,50,54,13,1,13,60,50,3,1,18
"Alabama","Alabama State",2024-11-25,1,83,51,13,0,34,33,51,9,3,4
"Alabama State","Alabama State",2024-11-25,-1,33,51,9,3,4,33,51,9,3,4
"Arkansas-Pine Bluff","Arkansas-Pine Bluff",2024-11-25,-1,58,66,15,0,9,58,66,15,0,9
"Ball State","Ball State",2024-11-25,-1,62,53,5,0,9,62,53,5,0,9
"Baylor","Villanova",2024-11-25,1,73,46,9,0,21,62,63,11,1,12
"Binghamton","Binghamton",2024-11-25,-1,68,53,12,2,7,68,53,12,2,7
"Black Hills State","Black Hills State",2024-11-25,-1,39,57,13,1,9,39,57,13,1,9
"Bloomfield","Bloomfield",2024-11-25,-1,73,58,9,1,19,73,58,9,1,19
"Boston College","Boston College",2024-11-25,-1,55,49,8,0,19,55,49,8,0,19
"Cal Poly","Cal Poly",2024-11-25,-1,45,54,8,1,9,45,54,8,1,9
"Canisius","Binghamton",2024-11-25,1,58,63,17,1,9,68,53,12,2,7
"Central Arkansas","Central Baptist College",2024-11-25,1,120,80,20,0,14,47,56,10,0,16
"Central Baptist College","Central Baptist College",2024-11-25,-1,47,56,10,0,16,47,56,10,0,16
"Charleston Southern","Fairfield",2024-11-25,1,36,48,6,1,10,79,66,10,1,10
"Chattanooga","Lipscomb",2024-11-25,1,66,49,7,2,13,60,56,8,0,8
"Chicago State","Chicago State",2024-11-25,-1,50,64,11,2,16,50,64,11,2,16
"Clemson","Clemson",2024-11-25,-1,90,72,22,1,15,90,72,22,1,15
"Clinton College","Clinton College",2024-11-25,-1,50,52,7,3,12,50,52,7,3,12
"Colorado State","Black Hills State",2024-11-25,1,59,53,7,0,16,39,57,13,1,9
"Columbia","Ball State",2024-11-25,1,69,55,4,0,20,62,53,5,0,9
"Creighton","Wichita State",2024-11-25,1,91,62,10,0,22,63,51,3,0,15
"Cumberland (TN)","Cumberland (TN)",2024-11-25,-1,48,65,11,2,10,48,65,11,2,10
"Dayton","Maryland Eastern Shore",2024-11-25,1,56,52,11,1,25,62,48,11,1,25
"DePaul","DePaul",2024-11-25,-1,62,80,20,1,22,62,80,20,1,22
"Delaware State","Bloomfield",2024-11-25,1,76,68,18,1,22,73,58,9,1,19
"Duke","Kansas State",2024-11-25,1,73,69,16,0,9,62,54,10,2,16
"Duquesne","Robert Morris",2024-11-25,1,77,67,9,0,17,61,46,7,1,21
"Eastern Kentucky","Eastern Kentucky",2024-11-25,-1,69,56,6,0,11,69,56,6,0,11
"Fairfield","Fairfield",2024-11-25,-1,79,66,10,1,10,79,66,10,1,10
