"season","team","conf","W","L","wpct","playoff"
2013,"Atlanta Dream","e",17,17,0.5,TRUE
2013,"Washington Mystics","e",17,17,0.5,TRUE
2013,"Indiana Fever","e",16,18,0.470588235294118,TRUE
2013,"New York Liberty","e",11,23,0.323529411764706,FALSE
2013,"Connecticut Sun","e",10,24,0.294117647058824,FALSE
2013,"Minnesota Lynx","w",26,8,0.764705882352941,TRUE
2013,"Los Angeles Sparks","w",24,10,0.705882352941177,TRUE
2013,"Phoenix Mercury","w",19,15,0.558823529411765,TRUE
2013,"Seattle Storm","w",17,17,0.5,TRUE
2013,"San Antonio Silver Stars","w",12,22,0.352941176470588,FALSE
2013,"Tulsa Shock","w",11,23,0.323529411764706,FALSE
2014,"Atlanta Dream","e",19,15,0.558823529411765,TRUE
2014,"Indiana Fever","e",16,18,0.470588235294118,TRUE
2014,"Washington Mystics","e",16,18,0.470588235294118,TRUE
2014,"Chicago Sky","e",15,19,0.441176470588235,TRUE
2014,"New York Liberty","e",15,19,0.441176470588235,FALSE
2014,"Connecticut Sun","e",13,21,0.382352941176471,FALSE
2014,"Phoenix Mercury","w",29,5,0.852941176470588,TRUE
2014,"Minnesota Lynx","w",25,9,0.735294117647059,TRUE
2014,"Los Angeles Sparks","w",16,18,0.470588235294118,TRUE
2014,"San Antonio Stars","w",16,18,0.470588235294118,TRUE
2014,"Seattle Storm","w",12,22,0.352941176470588,FALSE
2014,"Tulsa Shock","w",12,22,0.352941176470588,FALSE
2015,"New York Liberty","e",23,11,0.676470588235294,TRUE
2015,"Chicago Sky","e",21,13,0.61764705882353,TRUE
2015,"Indiana Fever","e",20,14,0.588235294117647,TRUE
2015,"Washington Mystics","e",18,16,0.529411764705882,TRUE
2015,"Atlanta Dream","e",15,19,0.441176470588235,FALSE
2015,"Connecticut Sun","e",15,19,0.441176470588235,FALSE
2015,"Minnesota Lynx","w",22,12,0.647058823529412,TRUE
2015,"Phoenix Mercury","w",20,14,0.588235294117647,TRUE
2015,"Tulsa Shock","w",18,16,0.529411764705882,TRUE
2015,"Los Angeles Sparks","w",14,20,0.411764705882353,TRUE
2015,"Seattle Storm","w",10,24,0.294117647058824,FALSE
2015,"San Antonio Stars","w",8,26,0.235294117647059,FALSE
2016,"New York Liberty","e",21,13,0.61764705882353,TRUE
2016,"Chicago Sky","e",18,16,0.529411764705882,TRUE
2016,"Atlanta Dream","e",17,17,0.5,TRUE
2016,"Indiana Fever","e",17,17,0.5,TRUE
2016,"Connecticut Sun","e",14,20,0.411764705882353,FALSE
2016,"Washington Mystics","e",13,21,0.382352941176471,FALSE
2016,"Minnesota Lynx","w",28,6,0.823529411764706,TRUE
2016,"Los Angeles Sparks","w",26,8,0.764705882352941,TRUE
2016,"Phoenix Mercury","w",16,18,0.470588235294118,TRUE
2016,"Seattle Storm","w",16,18,0.470588235294118,TRUE
2016,"Dallas Wings","w",11,23,0.323529411764706,FALSE
2016,"San Antonio Stars","w",7,27,0.205882352941176,FALSE
2017,"New York Liberty","e",22,12,0.647058823529412,TRUE
2017,"Connecticut Sun","e",21,13,0.61764705882353,TRUE
2017,"Washington Mystics","e",18,16,0.529411764705882,TRUE
2017,"Atlanta Dream","e",12,22,0.352941176470588,FALSE
2017,"Chicago Sky","e",12,22,0.352941176470588,FALSE
2017,"Indiana Fever","e",9,25,0.264705882352941,FALSE
2017,"Minnesota Lynx","w",27,7,0.794117647058823,TRUE
2017,"Los Angeles Sparks","w",26,8,0.764705882352941,TRUE
2017,"Phoenix Mercury","w",18,16,0.529411764705882,TRUE
2017,"Dallas Wings","w",16,18,0.470588235294118,TRUE
2017,"Seattle Storm","w",15,19,0.441176470588235,TRUE
2017,"San Antonio Stars","w",8,26,0.235294117647059,FALSE
2018,"Atlanta Dream","e",23,11,0.676470588235294,TRUE
2018,"Washington Mystics","e",22,12,0.647058823529412,TRUE
2018,"Connecticut Sun","e",21,13,0.61764705882353,TRUE
2018,"Chicago Sky","e",13,21,0.382352941176471,FALSE
2018,"New York Liberty","e",7,27,0.205882352941176,FALSE
2018,"Indiana Fever","e",6,28,0.176470588235294,FALSE
2018,"Seattle Storm","w",26,8,0.764705882352941,TRUE
2018,"Phoenix Mercury","w",20,14,0.588235294117647,TRUE
2018,"Los Angeles Sparks","w",19,15,0.558823529411765,TRUE
2018,"Minnesota Lynx","w",18,16,0.529411764705882,TRUE
2018,"Dallas Wings","w",15,19,0.441176470588235,TRUE
2018,"Las Vegas Aces","w",14,20,0.411764705882353,FALSE
2019,"Washington Mystics","e",26,8,0.764705882352941,TRUE
2019,"Connecticut Sun","e",23,11,0.676470588235294,TRUE
2019,"Chicago Sky","e",20,14,0.588235294117647,TRUE
2019,"Indiana Fever","e",13,21,0.382352941176471,FALSE
2019,"New York Liberty","e",10,24,0.294117647058824,FALSE
2019,"Atlanta Dream","e",8,26,0.235294117647059,FALSE
2019,"Los Angeles Sparks","w",22,12,0.647058823529412,TRUE
