"season","series_idx","round","opening","fmt","bestof","winner","w_seed","wW","wL","loser","l_seed","lW","lL","ww","wl","comparable","higher_won"
2004,1,"Finals",FALSE,"bo3 1-2 (98-09)",3,"Seattle Storm","W2",20,14,"Connecticut Sun","E1",18,16,2,1,FALSE,NA
2004,2,"Eastern Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"Connecticut Sun","E1",18,16,"New York Liberty","E2",18,16,2,0,TRUE,TRUE
2004,3,"Western Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"Seattle Storm","W2",20,14,"Sacramento Monarchs","W4",18,16,2,1,TRUE,TRUE
2004,4,"Eastern Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Connecticut Sun","E1",18,16,"Washington Mystics","E4",17,17,2,1,TRUE,TRUE
2004,5,"Eastern Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"New York Liberty","E2",18,16,"Detroit Shock","E3",17,17,2,1,TRUE,TRUE
2004,6,"Western Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Sacramento Monarchs","W4",18,16,"Los Angeles Sparks","W1",25,9,2,1,TRUE,FALSE
2004,7,"Western Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Seattle Storm","W2",20,14,"Minnesota Lynx","W3",18,16,2,0,TRUE,TRUE
2005,1,"Finals",FALSE,"bo5",5,"Sacramento Monarchs","W1",25,9,"Connecticut Sun","E1",26,8,3,1,FALSE,NA
2005,2,"Eastern Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"Connecticut Sun","E1",26,8,"Indiana Fever","E2",21,13,2,0,TRUE,TRUE
2005,3,"Western Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"Sacramento Monarchs","W1",25,9,"Houston Comets","W3",19,15,2,0,TRUE,TRUE
2005,4,"Eastern Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Connecticut Sun","E1",26,8,"Detroit Shock","E4",16,18,2,0,TRUE,TRUE
2005,5,"Eastern Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Indiana Fever","E2",21,13,"New York Liberty","E3",18,16,2,0,TRUE,TRUE
2005,6,"Western Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Houston Comets","W3",19,15,"Seattle Storm","W2",20,14,2,1,TRUE,FALSE
2005,7,"Western Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Sacramento Monarchs","W1",25,9,"Los Angeles Sparks","W4",17,17,2,0,TRUE,TRUE
2006,1,"Finals",FALSE,"bo5",5,"Detroit Shock","E2",23,11,"Sacramento Monarchs","W2",21,13,3,2,FALSE,NA
2006,2,"Eastern Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"Detroit Shock","E2",23,11,"Connecticut Sun","E1",26,8,2,1,TRUE,FALSE
2006,3,"Western Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"Sacramento Monarchs","W2",21,13,"Los Angeles Sparks","W1",25,9,2,0,TRUE,FALSE
2006,4,"Eastern Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Connecticut Sun","E1",26,8,"Washington Mystics","E4",18,16,2,0,TRUE,TRUE
2006,5,"Eastern Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Detroit Shock","E2",23,11,"Indiana Fever","E3",21,13,2,0,TRUE,TRUE
2006,6,"Western Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Los Angeles Sparks","W1",25,9,"Seattle Storm","W4",18,16,2,1,TRUE,TRUE
2006,7,"Western Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Sacramento Monarchs","W2",21,13,"Houston Comets","W3",18,16,2,0,TRUE,TRUE
2007,1,"Finals",FALSE,"bo5",5,"Phoenix Mercury","1",23,11,"Detroit Shock","1",24,10,3,2,TRUE,FALSE
2007,2,"Eastern Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"Detroit Shock","1",24,10,"Indiana Fever","2",21,13,2,1,TRUE,TRUE
2007,3,"Western Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"Phoenix Mercury","1",23,11,"San Antonio Silver Stars","2",20,14,2,0,TRUE,TRUE
2007,4,"Eastern Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Detroit Shock","1",24,10,"New York Liberty","4",16,18,2,1,TRUE,TRUE
2007,5,"Eastern Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Indiana Fever","2",21,13,"Connecticut Sun","3",18,16,2,1,TRUE,TRUE
2007,6,"Western Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Phoenix Mercury","1",23,11,"Seattle Storm","4",17,17,2,0,TRUE,TRUE
2007,7,"Western Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"San Antonio Silver Stars","2",20,14,"Sacramento Monarchs","3",19,15,2,1,TRUE,TRUE
2008,1,"Finals",FALSE,"bo5",5,"Detroit Shock","E1",22,12,"San Antonio Silver Stars","W1",24,10,3,0,FALSE,NA
2008,2,"Eastern Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"Detroit Shock","E1",22,12,"New York Liberty","E3",19,15,2,1,TRUE,TRUE
2008,3,"Western Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"San Antonio Silver Stars","W1",24,10,"Los Angeles Sparks","W3",20,14,2,1,TRUE,TRUE
2008,4,"Eastern Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Detroit Shock","E1",22,12,"Indiana Fever","E4",17,17,2,1,TRUE,TRUE
2008,5,"Eastern Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"New York Liberty","E3",19,15,"Connecticut Sun","E2",21,13,2,1,TRUE,FALSE
2008,6,"Western Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Los Angeles Sparks","W3",20,14,"Seattle Storm","W2",22,12,2,1,TRUE,FALSE
2008,7,"Western Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"San Antonio Silver Stars","W1",24,10,"Sacramento Monarchs","W4",18,16,2,1,TRUE,TRUE
2009,1,"Finals",FALSE,"bo5",5,"Phoenix Mercury","W1",23,11,"Indiana Fever","E1",22,12,3,2,FALSE,NA
2009,2,"Eastern Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"Indiana Fever","E1",22,12,"Detroit Shock","E3",18,16,2,1,TRUE,TRUE
2009,3,"Western Conference Finals",FALSE,"bo3 1-2 (98-09)",3,"Phoenix Mercury","W1",23,11,"Los Angeles Sparks","W3",18,16,2,1,TRUE,TRUE
2009,4,"Eastern Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Detroit Shock","E3",18,16,"Atlanta Dream","E2",18,16,2,0,TRUE,FALSE
2009,5,"Eastern Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Indiana Fever","E1",22,12,"Washington Mystics","E4",16,18,2,0,TRUE,TRUE
2009,6,"Western Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Los Angeles Sparks","W3",18,16,"Seattle Storm","W2",20,14,2,1,TRUE,FALSE
2009,7,"Western Conference Semifinals",TRUE,"bo3 1-2 (98-09)",3,"Phoenix Mercury","W1",23,11,"San Antonio Silver Stars","W4",15,19,2,1,TRUE,TRUE
2010,1,"Finals",FALSE,"bo5",5,"Seattle Storm","W1",28,6,"Atlanta Dream","E4",19,15,3,0,FALSE,NA
2010,2,"Eastern Conference Finals",FALSE,"bo3 1-1-1 (10-15)",3,"Atlanta Dream","E4",19,15,"New York Liberty","E2",22,12,2,0,TRUE,FALSE
2010,3,"Western Conference Finals",FALSE,"bo3 1-1-1 (10-15)",3,"Seattle Storm","W1",28,6,"Phoenix Mercury","W2",15,19,2,0,TRUE,TRUE
2010,4,"Eastern Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Atlanta Dream","E4",19,15,"Washington Mystics","E1",22,12,2,0,TRUE,FALSE
2010,5,"Eastern Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"New York Liberty","E2",22,12,"Indiana Fever","E3",21,13,2,1,TRUE,TRUE
2010,6,"Western Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Phoenix Mercury","W2",15,19,"San Antonio Silver Stars","W3",14,20,2,0,TRUE,TRUE
2010,7,"Western Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Seattle Storm","W1",28,6,"Los Angeles Sparks","W4",13,21,2,0,TRUE,TRUE
2011,1,"Finals",FALSE,"bo5",5,"Minnesota Lynx","W1",27,7,"Atlanta Dream","E3",20,14,3,0,FALSE,NA
2011,2,"Eastern Conference Finals",FALSE,"bo3 1-1-1 (10-15)",3,"Atlanta Dream","E3",20,14,"Indiana Fever","E1",21,13,2,1,TRUE,FALSE
2011,3,"Western Conference Finals",FALSE,"bo3 1-1-1 (10-15)",3,"Minnesota Lynx","W1",27,7,"Phoenix Mercury","W3",19,15,2,0,TRUE,TRUE
2011,4,"Eastern Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Atlanta Dream","E3",20,14,"Connecticut Sun","E2",21,13,2,0,TRUE,FALSE
2011,5,"Eastern Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Indiana Fever","E1",21,13,"New York Liberty","E4",19,15,2,1,TRUE,TRUE
2011,6,"Western Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Minnesota Lynx","W1",27,7,"San Antonio Silver Stars","W4",18,16,2,1,TRUE,TRUE
2011,7,"Western Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Phoenix Mercury","W3",19,15,"Seattle Storm","W2",21,13,2,1,TRUE,FALSE
2012,1,"Finals",FALSE,"bo5",5,"Indiana Fever","E2",22,12,"Minnesota Lynx","W1",27,7,3,1,FALSE,NA
2012,2,"Eastern Conference Finals",FALSE,"bo3 1-1-1 (10-15)",3,"Indiana Fever","E2",22,12,"Connecticut Sun","E1",25,9,2,1,TRUE,FALSE
2012,3,"Western Conference Finals",FALSE,"bo3 1-1-1 (10-15)",3,"Minnesota Lynx","W1",27,7,"Los Angeles Sparks","W2",24,10,2,0,TRUE,TRUE
2012,4,"Eastern Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Connecticut Sun","E1",25,9,"New York Liberty","E4",15,19,2,0,TRUE,TRUE
2012,5,"Eastern Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Indiana Fever","E2",22,12,"Atlanta Dream","E3",19,15,2,1,TRUE,TRUE
2012,6,"Western Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Los Angeles Sparks","W2",24,10,"San Antonio Silver Stars","W3",21,13,2,0,TRUE,TRUE
2012,7,"Western Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Minnesota Lynx","W1",27,7,"Seattle Storm","W4",16,18,2,1,TRUE,TRUE
2013,1,"Finals",FALSE,"bo5",5,"Minnesota Lynx","W1",26,8,"Atlanta Dream","E2",17,17,3,0,FALSE,NA
2013,2,"Eastern Conference Finals",FALSE,"bo3 1-1-1 (10-15)",3,"Atlanta Dream","E2",17,17,"Indiana Fever","E4",16,18,2,0,TRUE,TRUE
2013,3,"Western Conference Finals",FALSE,"bo3 1-1-1 (10-15)",3,"Minnesota Lynx","W1",26,8,"Phoenix Mercury","W3",19,15,2,0,TRUE,TRUE
2013,4,"Eastern Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Atlanta Dream","E2",17,17,"Washington Mystics","E3",17,17,2,1,TRUE,TRUE
2013,5,"Eastern Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Indiana Fever","E4",16,18,"Chicago Sky","E1",24,10,2,0,TRUE,FALSE
2013,6,"Western Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Minnesota Lynx","W1",26,8,"Seattle Storm","W4",17,17,2,0,TRUE,TRUE
2013,7,"Western Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Phoenix Mercury","W3",19,15,"Los Angeles Sparks","W2",24,10,2,1,TRUE,FALSE
2014,1,"Finals",FALSE,"bo5",5,"Phoenix Mercury","W1",29,5,"Chicago Sky","E4",15,19,3,0,FALSE,NA
2014,2,"Eastern Conference Finals",FALSE,"bo3 1-1-1 (10-15)",3,"Chicago Sky","E4",15,19,"Indiana Fever","E2",16,18,2,1,TRUE,FALSE
2014,3,"Western Conference Finals",FALSE,"bo3 1-1-1 (10-15)",3,"Phoenix Mercury","W1",29,5,"Minnesota Lynx","W2",25,9,2,1,TRUE,TRUE
2014,4,"Eastern Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Chicago Sky","E4",15,19,"Atlanta Dream","E1",19,15,2,1,TRUE,FALSE
2014,5,"Eastern Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Indiana Fever","E2",16,18,"Washington Mystics","E3",16,18,2,0,TRUE,TRUE
2014,6,"Western Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Minnesota Lynx","W2",25,9,"San Antonio Stars","W3",16,18,2,0,TRUE,TRUE
2014,7,"Western Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Phoenix Mercury","W1",29,5,"Los Angeles Sparks","W4",16,18,2,0,TRUE,TRUE
2015,1,"Finals",FALSE,"bo5",5,"Minnesota Lynx","W1",22,12,"Indiana Fever","E3",20,14,3,2,FALSE,NA
2015,2,"Eastern Conference Finals",FALSE,"bo3 1-1-1 (10-15)",3,"Indiana Fever","E3",20,14,"New York Liberty","E1",23,11,2,1,TRUE,FALSE
2015,3,"Western Conference Finals",FALSE,"bo3 1-1-1 (10-15)",3,"Minnesota Lynx","W1",22,12,"Phoenix Mercury","W2",20,14,2,0,TRUE,TRUE
2015,4,"Eastern Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Indiana Fever","E3",20,14,"Chicago Sky","E2",21,13,2,1,TRUE,FALSE
2015,5,"Eastern Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"New York Liberty","E1",23,11,"Washington Mystics","E4",18,16,2,1,TRUE,TRUE
2015,6,"Western Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Minnesota Lynx","W1",22,12,"Los Angeles Sparks","W4",14,20,2,1,TRUE,TRUE
2015,7,"Western Conference Semifinals",TRUE,"bo3 1-1-1 (10-15)",3,"Phoenix Mercury","W2",20,14,"Tulsa Shock","W3",18,16,2,0,TRUE,TRUE
2016,1,"Finals",FALSE,"bo5",5,"Los Angeles Sparks","2",26,8,"Minnesota Lynx","1",28,6,3,2,TRUE,FALSE
2016,2,"Semifinals",FALSE,"bo5",5,"Los Angeles Sparks","2",26,8,"Chicago Sky","4",18,16,3,1,TRUE,TRUE
2016,3,"Semifinals",FALSE,"bo5",5,"Minnesota Lynx","1",28,6,"Phoenix Mercury","8",16,18,3,0,TRUE,TRUE
2016,4,"Second Round",FALSE,"single game",1,"Chicago Sky","4",18,16,"Atlanta Dream","6",17,17,1,0,TRUE,TRUE
2016,5,"Second Round",FALSE,"single game",1,"Phoenix Mercury","8",16,18,"New York Liberty","3",21,13,1,0,TRUE,FALSE
2016,6,"First Round",TRUE,"single game",1,"Atlanta Dream","6",17,17,"Seattle Storm","7",16,18,1,0,TRUE,TRUE
2016,7,"First Round",TRUE,"single game",1,"Phoenix Mercury","8",16,18,"Indiana Fever","5",17,17,1,0,TRUE,FALSE
2017,1,"Finals",FALSE,"bo5",5,"Minnesota Lynx","1",27,7,"Los Angeles Sparks","2",26,8,3,2,TRUE,TRUE
2017,2,"Semifinals",FALSE,"bo5",5,"Los Angeles Sparks","2",26,8,"Phoenix Mercury","5",18,16,3,0,TRUE,TRUE
2017,3,"Semifinals",FALSE,"bo5",5,"Minnesota Lynx","1",27,7,"Washington Mystics","6",18,16,3,0,TRUE,TRUE
2017,4,"Second Round",FALSE,"single game",1,"Phoenix Mercury","5",18,16,"Connecticut Sun","4",21,13,1,0,TRUE,FALSE
2017,5,"Second Round",FALSE,"single game",1,"Washington Mystics","6",18,16,"New York Liberty","3",22,12,1,0,TRUE,FALSE
2017,6,"First Round",TRUE,"single game",1,"Phoenix Mercury","5",18,16,"Seattle Storm","8",15,19,1,0,TRUE,TRUE
2017,7,"First Round",TRUE,"single game",1,"Washington Mystics","6",18,16,"Dallas Wings","7",16,18,1,0,TRUE,TRUE
2018,1,"Finals",FALSE,"bo5",5,"Seattle Storm","1",26,8,"Washington Mystics","3",22,12,3,0,TRUE,TRUE
2018,2,"Semifinals",FALSE,"bo5",5,"Seattle Storm","1",26,8,"Phoenix Mercury","5",20,14,3,2,TRUE,TRUE
2018,3,"Semifinals",FALSE,"bo5",5,"Washington Mystics","3",22,12,"Atlanta Dream","2",23,11,3,2,TRUE,FALSE
2018,4,"Second Round",FALSE,"single game",1,"Phoenix Mercury","5",20,14,"Connecticut Sun","4",21,13,1,0,TRUE,FALSE
2018,5,"Second Round",FALSE,"single game",1,"Washington Mystics","3",22,12,"Los Angeles Sparks","6",19,15,1,0,TRUE,TRUE
2018,6,"First Round",TRUE,"single game",1,"Los Angeles Sparks","6",19,15,"Minnesota Lynx","7",18,16,1,0,TRUE,TRUE
2018,7,"First Round",TRUE,"single game",1,"Phoenix Mercury","5",20,14,"Dallas Wings","8",15,19,1,0,TRUE,TRUE
2019,1,"Finals",FALSE,"bo5",5,"Washington Mystics","1",26,8,"Connecticut Sun","2",23,11,3,2,TRUE,TRUE
2019,2,"Semifinals",FALSE,"bo5",5,"Connecticut Sun","2",23,11,"Los Angeles Sparks","3",22,12,3,0,TRUE,TRUE
2019,3,"Semifinals",FALSE,"bo5",5,"Washington Mystics","1",26,8,"Las Vegas Aces","4",21,13,3,1,TRUE,TRUE
2019,4,"Second Round",FALSE,"single game",1,"Los Angeles Sparks","3",22,12,"Seattle Storm","6",18,16,1,0,TRUE,TRUE
2019,5,"Second Round",FALSE,"single game",1,"Las Vegas Aces","4",21,13,"Chicago Sky","5",20,14,1,0,TRUE,TRUE
2019,6,"First Round",TRUE,"single game",1,"Chicago Sky","5",20,14,"Phoenix Mercury","8",15,19,1,0,TRUE,TRUE
2019,7,"First Round",TRUE,"single game",1,"Seattle Storm","6",18,16,"Minnesota Lynx","7",18,16,1,0,TRUE,TRUE
2020,1,"Finals",FALSE,"bo5",5,"Seattle Storm","2",18,4,"Las Vegas Aces","1",18,4,3,0,TRUE,FALSE
