"season","series_idx","round","fmt","game","away","away_pts","home","home_pts","higher","home_is_higher","home_won"
2008,7,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"San Antonio Silver Stars",85,"Sacramento Monarchs",78,"San Antonio Silver Stars",FALSE,FALSE
2008,7,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Sacramento Monarchs",84,"San Antonio Silver Stars",67,"San Antonio Silver Stars",TRUE,FALSE
2008,7,"Western Conference Semifinals","bo3 1-2 (98-09)",3,"Sacramento Monarchs",81,"San Antonio Silver Stars",86,"San Antonio Silver Stars",TRUE,TRUE
2009,2,"Eastern Conference Finals","bo3 1-2 (98-09)",1,"Indiana Fever",56,"Detroit Shock",72,"Indiana Fever",FALSE,TRUE
2009,2,"Eastern Conference Finals","bo3 1-2 (98-09)",2,"Detroit Shock",75,"Indiana Fever",79,"Indiana Fever",TRUE,TRUE
2009,2,"Eastern Conference Finals","bo3 1-2 (98-09)",3,"Detroit Shock",67,"Indiana Fever",72,"Indiana Fever",TRUE,TRUE
2009,3,"Western Conference Finals","bo3 1-2 (98-09)",1,"Phoenix Mercury",103,"Los Angeles Sparks",94,"Phoenix Mercury",FALSE,FALSE
2009,3,"Western Conference Finals","bo3 1-2 (98-09)",2,"Los Angeles Sparks",87,"Phoenix Mercury",76,"Phoenix Mercury",TRUE,FALSE
2009,3,"Western Conference Finals","bo3 1-2 (98-09)",3,"Los Angeles Sparks",74,"Phoenix Mercury",85,"Phoenix Mercury",TRUE,TRUE
2009,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"Atlanta Dream",89,"Detroit Shock",94,"Atlanta Dream",FALSE,TRUE
2009,4,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Detroit Shock",94,"Atlanta Dream",79,"Atlanta Dream",TRUE,FALSE
2009,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",1,"Indiana Fever",88,"Washington Mystics",79,"Indiana Fever",FALSE,FALSE
2009,5,"Eastern Conference Semifinals","bo3 1-2 (98-09)",2,"Washington Mystics",74,"Indiana Fever",81,"Indiana Fever",TRUE,TRUE
2009,6,"Western Conference Semifinals","bo3 1-2 (98-09)",1,"Seattle Storm",63,"Los Angeles Sparks",70,"Seattle Storm",FALSE,TRUE
2009,6,"Western Conference Semifinals","bo3 1-2 (98-09)",2,"Los Angeles Sparks",74,"Seattle Storm",75,"Seattle Storm",TRUE,TRUE
2009,6,"Western Conference Semifinals","bo3 1-2 (98-09)",3,"Los Angeles Sparks",75,"Seattle Storm",64,"Seattle Storm",TRUE,FALSE
