Rk,Team,AP#,Date,PTS,,Opp,OppAP#,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
220,Cincinnati,-,2024-12-22,-17,@,Kansas State,13,L 59-76,200,21,67,0.313,15,48,0.313,6,19,0.316,11,19,0.579,59,29,58,0.5,20,41,0.488,9,17,0.529,9,15,0.6,76,-8,+9,-0.187,-5,+7,-0.175,-3,+2,-0.214,+2,+4,-0.021,-17
221,Colorado,-,2025-02-22,-17,@,Oklahoma State,24,L 65-82,200,26,59,0.441,23,44,0.523,3,15,0.2,10,12,0.833,65,27,60,0.45,20,42,0.476,7,18,0.389,21,28,0.75,82,-1,-1,-0.009,+3,+2,+.047,-4,-3,-0.189,-11,-16,+.083,-17
222,Florida,-,2025-01-19,-17,,Louisiana State,5,L 63-80,200,22,58,0.379,17,41,0.415,5,17,0.294,14,18,0.778,63,31,72,0.431,27,57,0.474,4,15,0.267,14,23,0.609,80,-9,-14,-0.051,-10,-16,-0.059,+1,+2,+.027,0,-5,+.169,-17
223,Missouri,-,2025-01-16,-17,@,Oklahoma,13,L 63-80,200,22,58,0.379,15,37,0.405,7,21,0.333,12,16,0.75,63,28,54,0.519,17,30,0.567,11,24,0.458,13,16,0.813,80,-6,+4,-0.139,-2,+7,-0.161,-4,-3,-0.125,-1,0,-0.063,-17
224,Pittsburgh,-,2025-01-19,-17,,North Carolina,14,L 58-75,200,21,60,0.35,12,39,0.308,9,21,0.429,7,10,0.7,58,28,70,0.4,15,38,0.395,13,32,0.406,6,8,0.75,75,-7,-10,-0.05,-3,+1,-0.087,-4,-11,+.022,+1,+2,-0.05,-17
225,Rutgers,-,2025-01-02,-17,@,Maryland,8,L 61-78,200,22,62,0.355,15,40,0.375,7,22,0.318,10,13,0.769,61,23,66,0.348,18,47,0.383,5,19,0.263,27,32,0.844,78,-1,-4,+.006,-3,-7,-0.008,+2,+3,+.055,-17,-19,-0.075,-17
226,Syracuse,-,2025-01-02,-17,@,Georgia Tech,13,L 68-85,200,24,69,0.348,18,52,0.346,6,17,0.353,14,16,0.875,68,29,67,0.433,22,46,0.478,7,21,0.333,20,23,0.87,85,-5,+2,-0.085,-4,+6,-0.132,-1,-4,+.020,-6,-7,+.005,-17
227,Villanova,-,2024-11-24,-17,N,North Carolina,16,L 36-53,200,12,51,0.235,7,33,0.212,5,18,0.278,7,10,0.7,36,22,55,0.4,17,38,0.447,5,17,0.294,4,6,0.667,53,-10,-4,-0.165,-10,-5,-0.235,0,+1,-0.016,+3,+4,+.033,-17
228,Colgate,-,2024-11-10,-18,@,UCLA,5,L 63-81,200,22,57,0.386,15,43,0.349,7,14,0.5,12,16,0.75,63,34,59,0.576,27,42,0.643,7,17,0.412,6,12,0.5,81,-12,-2,-0.19,-12,+1,-0.294,0,-3,+.088,+6,+4,+.250,-18
229,Creighton,-,2024-11-14,-18,@,Kansas State,10,L 68-86,200,26,64,0.406,19,45,0.422,7,19,0.368,9,11,0.818,68,36,67,0.537,29,51,0.569,7,16,0.438,7,12,0.583,86,-10,-3,-0.131,-10,-6,-0.146,0,+3,-0.069,+2,-1,+.235,-18
